context,triplets,subject,object,relation
 is moving to a new town cause get a new place to live,<triplet>  is moving to a new town <subj> get a new place to live <obj> cause,is moving to a new town,get a new place to live,cause
 learns computer programming cause too learns computer programing,<triplet>  learns computer programming <subj> too learns computer programing <obj> cause,learns computer programming,too learns computer programing,cause
 begins  soon cause becomes energetic,<triplet>  begins soon <subj> becomes energetic <obj> cause,begins soon,becomes energetic,cause
 inspects every  cause forms an opinion,<triplet>  inspects every  <subj> forms an opinion <obj> cause,inspects every,forms an opinion,cause
 gives  a hug cause feels person X,<triplet>  gives a hug <subj> feels person X <obj> cause,gives a hug,feels person X,cause
 begins to feel ill cause gets a fever,<triplet>  begins to feel ill <subj> gets a fever <obj> cause,begins to feel ill,gets a fever,cause
 lays  by side cause everyone dies except his mother,<triplet>  lays by side <subj> everyone dies except his mother <obj> cause,lays by side,everyone dies except his mother,cause
 gets  as a pet cause hopes they learn responsibility,<triplet>  gets as a pet <subj> hopes they learn responsibility <obj> cause,gets as a pet,hopes they learn responsibility,cause
 calls  for a ride cause gets thanked,<triplet>  calls for a ride <subj> gets thanked <obj> cause,calls for a ride,gets thanked,cause
 answers  questions cause can ask a follow-up question,<triplet>  answers  questions <subj> can ask a follow-up question <obj> cause,answers  questions,can ask a follow-up question,cause
 acquires  interest cause receives reaction,<triplet>  acquires  interest <subj> receives reaction <obj> cause,acquires  interest,receives reaction,cause
 seems friendly cause is talking,<triplet>  seems friendly <subj> is talking <obj> cause,seems friendly,is talking,cause
 tries to reassure  cause personY gains calm.,<triplet>  tries to reassure  <subj> personY gains calm. <obj> cause,tries to reassure,personY gains calm.,cause
 persuades  to vote cause gets elected,<triplet>  persuades to vote <subj> gets elected <obj> cause,persuades to vote,gets elected,cause
 is missing something cause is crying,<triplet>  is missing something <subj> is crying <obj> cause,is missing something,is crying,cause
 gets ready for class cause sits at desk,<triplet>  gets ready for class <subj> sits at desk <obj> cause,gets ready for class,sits at desk,cause
 sits down beside  cause smiles at personX,<triplet>  sits down beside  <subj> smiles at personX <obj> cause,sits down beside,smiles at personX,cause
 loves every minute cause learns something new,<triplet>  loves every minute <subj> learns something new <obj> cause,loves every minute,learns something new,cause
 looks disgusting cause gets called names,<triplet>  looks disgusting <subj> gets called names <obj> cause,looks disgusting,gets called names,cause
 offers  a position cause gets asked questions,<triplet>  offers a position <subj> gets asked questions <obj> cause,offers a position,gets asked questions,cause
 complains to  cause blushes,<triplet>  complains to  <subj> blushes <obj> cause,complains to,blushes,cause
 wants to eat it cause salivates,<triplet>  wants to eat it <subj> salivates <obj> cause,wants to eat it,salivates,cause
 is really shy cause blushes,<triplet>  is really shy <subj> blushes <obj> cause,is really shy,blushes,cause
 calls animal control cause gets the snake removed from the yard,<triplet>  calls animal control <subj> gets the snake removed from the yard <obj> cause,calls animal control,gets the snake removed from the yard,cause
 takes care of everything cause Learns responsibility,<triplet>  takes care of everything <subj> Learns responsibility <obj> cause,takes care of everything,Learns responsibility,cause
 gets suspended cause punished at home,<triplet>  gets suspended <subj> punished at home <obj> cause,gets suspended,punished at home,cause
 impresses a girl at school cause  gets a date,<triplet>  impresses a girl at school <subj>  gets a date <obj> cause,impresses a girl at school,gets a date,cause
 becomes hungry cause becomes irritated,<triplet>  becomes hungry <subj> becomes irritated <obj> cause,becomes hungry,becomes irritated,cause
 puts  to the test cause  pushes the limits,<triplet>  puts  to the test <subj>  pushes the limits <obj> cause,puts  to the test,pushes the limits,cause
 tells mom cause To do it now,<triplet>  tells mom <subj> To do it now <obj> cause,tells mom,To do it now,cause
 pushes back the  cause gets tired.,<triplet>  pushes back the  <subj> gets tired. <obj> cause,pushes back the,gets tired.,cause
 gets  to help cause Person X felt bad in shop,<triplet>  gets to help <subj> Person X felt bad in shop <obj> cause,gets to help,Person X felt bad in shop,cause
 judges the  in righteousness by that man cause concedes,<triplet>  judges the in righteousness by that man <subj> concedes <obj> cause,judges the in righteousness by that man,concedes,cause
 serves  cause gets thanked,<triplet>  serves  <subj> gets thanked <obj> cause,serves,gets thanked,cause
 grins like a cheshire cat cause no effect,<triplet>  grins like a cheshire cat <subj> no effect <obj> cause,grins like a cheshire cat,no effect,cause
 enjoys the music cause goes home,<triplet>  enjoys the music <subj> goes home <obj> cause,enjoys the music,goes home,cause
 explains the rules cause  does well at observing the rules,<triplet>  explains the rules <subj>  does well at observing the rules <obj> cause,explains the rules,does well at observing the rules,cause
 splits the money cause has less money,<triplet>  splits the money <subj> has less money <obj> cause,splits the money,has less money,cause
 spells  correctly cause gets a good grade,<triplet>  spells correctly <subj> gets a good grade <obj> cause,spells correctly,gets a good grade,cause
 takes a selfie cause shares with friends,<triplet>  takes a selfie <subj> shares with friends <obj> cause,takes a selfie,shares with friends,cause
 throws  a surprise birthday party cause gets thanks,<triplet>  throws  a surprise birthday party <subj> gets thanks <obj> cause,throws  a surprise birthday party,gets thanks,cause
 stops playing cause Others stand closer to  after the shower.,<triplet>  stops playing <subj> Others stand closer to  after the shower. <obj> cause,stops playing,Others stand closer to  after the shower.,cause
 changes the channel cause Covers ears because the next channel is really loud,<triplet>  changes the channel <subj> Covers ears because the next channel is really loud <obj> cause,changes the channel,Covers ears because the next channel is really loud,cause
 denies everything cause avoids them,<triplet>  denies everything <subj> avoids them <obj> cause,denies everything,avoids them,cause
 watches netflix cause loses energy,<triplet>  watches netflix <subj> loses energy <obj> cause,watches netflix,loses energy,cause
 breathes easy cause is relaxed,<triplet>  breathes easy <subj> is relaxed <obj> cause,breathes easy,is relaxed,cause
 furthers the  for the maintenance cause BECOME IN GOOD IN MAINTANENCE,<triplet>  furthers the for the maintenance <subj> BECOME IN GOOD IN MAINTANENCE <obj> cause,furthers the for the maintenance,BECOME IN GOOD IN MAINTANENCE,cause
 offers the job cause go to work,<triplet>  offers the job <subj> go to work <obj> cause,offers the job,go to work,cause
 takes a rest cause works hard,<triplet>  takes a rest <subj> works hard <obj> cause,takes a rest,works hard,cause
 leaves  to the imagination cause  acts coy,<triplet>  leaves to the imagination <subj>  acts coy <obj> cause,leaves to the imagination,acts coy,cause
 sends  to summer camp cause they enjoyed some peace.,<triplet>  sends  to summer camp <subj> they enjoyed some peace. <obj> cause,sends  to summer camp,they enjoyed some peace.,cause
 hears  since cause are not affected by the incident,<triplet>  hears since <subj> are not affected by the incident <obj> cause,hears since,are not affected by the incident,cause
 develops  system cause they know they did well,<triplet>  develops  system <subj> they know they did well <obj> cause,develops  system,they know they did well,cause
 misses  already cause sighs,<triplet>  misses  already <subj> sighs <obj> cause,misses  already,sighs,cause
 is able to go home cause able to eat a home cooked meal,<triplet>  is able to go home <subj> able to eat a home cooked meal <obj> cause,is able to go home,able to eat a home cooked meal,cause
 supplies  with food cause receives smile,<triplet>  supplies  with food <subj> receives smile <obj> cause,supplies  with food,receives smile,cause
 invites  to a movie cause is shown appreciation,<triplet>  invites to a movie <subj> is shown appreciation <obj> cause,invites to a movie,is shown appreciation,cause
 delivers  cause  is interviewed.,<triplet>  delivers  <subj>  is interviewed. <obj> cause,delivers,is interviewed.,cause
 scars the crap out of  cause screams,<triplet>  scars the crap out of  <subj> screams <obj> cause,scars the crap out of,screams,cause
 becomes a writer cause writes a chapter,<triplet>  becomes a writer <subj> writes a chapter <obj> cause,becomes a writer,writes a chapter,cause
 decides to go fishing cause  catches many fish,<triplet>  decides to go fishing <subj>  catches many fish <obj> cause,decides to go fishing,catches many fish,cause
 straps  cause smiles,<triplet>  straps  <subj> smiles <obj> cause,straps,smiles,cause
 takes a cab cause moves around,<triplet>  takes a cab <subj> moves around <obj> cause,takes a cab,moves around,cause
 finally found the perfect one cause gets married,<triplet>  finally found the perfect one <subj> gets married <obj> cause,finally found the perfect one,gets married,cause
 pays the cashier cause person x goes home,<triplet>  pays the cashier <subj> person x goes home <obj> cause,pays the cashier,person x goes home,cause
 plays   in the formation cause Can increase his responsibility,<triplet>  plays  in the formation <subj> Can increase his responsibility <obj> cause,plays  in the formation,Can increase his responsibility,cause
 eats at a fancy restaurant cause gets full,<triplet>  eats at a fancy restaurant <subj> gets full <obj> cause,eats at a fancy restaurant,gets full,cause
 cries with joy cause has tears in their eyes,<triplet>  cries with joy <subj> has tears in their eyes <obj> cause,cries with joy,has tears in their eyes,cause
